;attitude.roll;attitude.pitch;attitude.yaw;gravity.x;gravity.y;gravity.z;rotationRate.x;rotationRate.y;rotationRate.z;userAcceleration.x;userAcceleration.y;userAcceleration.z
0;1.528.132;-0.733896;0.696372;0.741895;0.669768;-0.031672000000000006;0.316738;0.77818;10.827.639.999.999.900;0.294894;-0.18449300000000002;0.377542
1;1.527.992;-0.716987;0.677762;0.753099;0.657116;-0.032255;0.842032;0.424446;0.643574;0.21940500000000002;0.035845999999999996;0.11486600000000001
2;1.527.765;-0.7069989999999999;0.6709510000000001;0.7596109999999999;0.649555;-0.032707;-0.13814300000000002;-0.040741;0.343563;0.010714;0.134701;-0.16780799999999998
3;15.167.680.000.000.000;-0.704678;0.6757350000000001;0.760709;0.647788;-0.041139999999999996;-0.025005;-1.048.717;0.03586;-0.008389;0.13678800000000002;0.094958
4;1.493.941;-0.703918;0.672994;0.760062;0.6472100000000001;-0.05853;0.114253;-0.91289;0.047341;0.199441;0.353996;-0.044299
5;1.476.302;-0.700807;0.669443;0.760912;0.644835;-0.072116;0.18774200000000002;-0.763656;0.226057;0.168241;0.145906;0.012454999999999999
6;14.551.530.000.000.000;-0.694408;0.662593;0.7633;0.63993;-0.088666;0.343096;-0.80382;0.278468;0.07938200000000001;-0.026344;-0.19559
7;1.441.702;-0.69071;0.656459;0.7643800000000001;0.637084;-0.099229;0.176202;-0.172756;0.056415;0.06936;0.07267799999999999;-0.10292000000000001
8;144.344;-0.691905;0.651196;0.763796;0.638005;-0.097803;0.27478600000000003;0.446585;-0.132766;0.072889;0.079921;-0.075323
9;1.443.071;-0.6930390000000001;0.6381979999999999;0.763042;0.638878;-0.097993;0.633672;0.316372;-0.11513699999999999;0.098347;-0.017021;-0.19730999999999999
10;1.434.186;-0.693527;0.616938;0.761832;0.639253;-0.104726;0.865711;0.179274;-0.130432;-0.0176;-0.119279;-0.154231
11;1.412.539;-0.69193;0.59224;0.760394;0.6380239999999999;-0.121353;1.010.791;-0.662185;-0.017245;-0.090762;-0.10498900000000001;-0.196168
12;13.664.319.999.999.900;-0.6868350000000001;0.562806;0.757165;0.634093;-0.15692799999999998;1.233.366;-1.834.122;0.089429;-0.022256;-0.090728;-0.068734
13;1.298.239;-0.6767029999999999;0.533675;0.750862;0.6262260000000001;-0.20987600000000003;1.183.222;-2.790.427;0.32104;-0.0050880000000000005;-0.097982;0.12550999999999998
14;12.227.629.999.999.900;-0.660279;0.51297;0.742468;0.613337;-0.269368;1.145.214;-3.434.572;0.536324;0.058954;-0.040995;0.16553199999999998
15;1.137.867;-0.639672;0.490227;0.728273;0.596932;-0.33658699999999997;1.251.651;-36.440.690.000.000.000;0.620658;0.083052;0.11429500000000001;0.12308599999999999
16;1.059.596;-0.6237149999999999;0.47639899999999996;0.707943;0.584055;-0.39711;0.600647;-3.449.093;0.379781;-0.021313;0.24472600000000003;0.370255
17;1.002.833;-0.624159;0.47803199999999996;0.684055;0.584415;-0.43649499999999997;-0.031705000000000004;-2.780.694;0.017706;-0.269154;0.158627;0.45006
18;0.9555379999999999;-0.628684;0.480025;0.660488;0.5880810000000001;-0.466816;-0.28618899999999997;-2.203.564;-0.23156999999999997;-0.437267;0.051949;0.252811
19;0.923844;-0.6406850000000001;0.484397;0.6396850000000001;0.597745;-0.48322200000000004;-0.63246;-1.355.699;-0.44017399999999995;-0.38393299999999997;-0.0341;0.299583
20;0.9164329999999999;-0.6556420000000001;0.49187299999999995;0.628922;0.609668;-0.482454;-0.688157;-0.150945;-0.37374;-0.276871;-0.010043999999999999;0.368135
21;0.936385;-0.67165;0.504363;0.63048;0.622279;-0.463966;-1.080.752;1.072.168;-0.34386700000000003;-0.20701799999999998;0.034551;0.142982
22;0.9834510000000001;-0.696289;0.52989;0.638651;0.641375;-0.425162;-17.610.439.999.999.900;17.122.080.000.000.000;-0.5053989999999999;-0.24805700000000003;-0.071764;0.062476
23;10.467.899.999.999.900;-0.725263;0.565948;0.6479159999999999;0.6633319999999999;-0.37442600000000004;-19.422.529.999.999.900;2.245.388;-0.483847;-0.252744;-0.10988099999999999;0.048285
24;1.129.694;-0.752479;0.604115;0.6601229999999999;0.683451;-0.311663;-18.902.729.999.999.900;3.203.544;-0.6470819999999999;-0.20252699999999998;-0.056542999999999996;-0.139479
25;1.231.014;-0.786512;0.649841;0.665937;0.7078939999999999;-0.23540300000000003;-2.378.386;35.353.510.000.000.000;-1.148.708;0.012835;0.131904;-0.321589
26;1.347.834;-0.829441;0.717322;0.658573;0.737554;-0.149319;-3.073.846;31.962.580.000.000.000;-1.527.009;0.434857;0.520213;-0.468112
27;14.465.290.000.000.000;-0.862922;0.799754;0.645207;0.759745;-0.080593;-2.689.446;0.6503260000000001;-0.814967;0.481304;0.39473400000000003;-0.54813
28;1.459.509;-0.8672700000000001;0.852132;0.6429090000000001;0.762566;-0.071845;-1.071.424;-2.076.484;0.370601;0.388906;-0.14135;-0.605554
29;142.974;-0.853959;0.860604;0.650478;0.753887;-0.09236699999999999;0.238801;-13.245.719.999.999.900;0.8755120000000001;0.012241;-0.56921;-0.6271760000000001
